Downloaded from: https://gender-pay-gap.service.gov.uk/,,,,,,,,,,,,,,,,,,,,,,,,
Correct as of: 9th February 2020,,,,,,,,,,,,,,,,,,,,,,,,
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted
Bank of England,"Threadneedle Street,
London,
EC2R 8AH",,"1,
84110",20.2,23,21,22,89.9,91.3,43,57,49,51,60,40,70,30,https://www.bankofengland.co.uk/annual-report/2019,None,1000 to 4999,Bank of England,FALSE,31/03/2020 00:00,05/09/2019 09:27
BARBON HOLDINGS LIMITED,"Hestia House,
Edgewest Road,
Lincoln,
LN6 7EL",7435517,64205,45.1,5.5,35.4,14.8,77.9,68.1,46.8,53.2,47.4,52.6,41.6,58.4,53.9,46.1,https://www.barbon.com/about-us/gender-pay-reporting/,Phillip Screeton (CFO),250 to 499,BARBON HOLDINGS LIMITED,FALSE,05/04/2020 00:00,03/02/2020 09:36
BARBON INSURANCE GROUP LIMITED,"Hestia House,
Edgewest Road,
Lincoln,
LN6 7EL",3135797,65120,45.1,5.5,35.4,14.8,77.9,68.1,46.8,53.2,47.4,52.6,41.6,58.4,53.9,46.1,https://www.barbon.com/about-us/gender-pay-reporting/,Phillip Screeton (CFO),250 to 499,BARBON INSURANCE GROUP LIMITED,FALSE,05/04/2020 00:00,03/02/2020 09:38
BARFOOTS OF BOTLEY LIMITED,"Sefter Farm,
Pagham Road,
Bognor Regis,
West Sussex,
PO21 3PX",2383478,46310,18.3,-12.7,69,-502.7,90.3,93.2,74.8,25.2,74.5,25.5,47.6,52.4,73.8,26.2,https://www.barfoots.com/app/uploads/2019/10/2019-Gender-Pay-Gap-Report.pdf,Claire Booker (Head of HR),250 to 499,BARFOOTS OF BOTLEY LIMITED,FALSE,05/04/2020 00:00,07/10/2019 15:48
BARRATT DEVELOPMENTS P L C,"Barratt House Cartwright Way,
Forest Business Park, Bardon Hill,
Coalville,
Leicestershire,
LE67 1UF",604574,41201,45.5,34.2,79.3,51.6,93.1,83.6,35.6,64.4,50.6,49.4,71.3,28.7,74.7,25.3,https://www.barrattdevelopments.co.uk,Rob tansey (Group HR director),"5000 to 19,999",BARRATT DEVELOPMENTS P L C,FALSE,05/04/2020 00:00,14/11/2019 10:52
Barrow-in-furness Borough Council,"Town Hall,
Duke Street,
Barrow-In-Furness,
Cumbria,
United Kingdom,
LA14 2LD",,"1,
84110",14.6,18.1,nan,,0,0,24.2,75.8,23.8,76.2,29,71,55.6,44.4,https://www.barrowbc.gov.uk/about-the-council/finances/transparency/financial-transparency-2019-2020/,None,250 to 499,Barrow-in-furness Borough Council,FALSE,31/03/2020 00:00,19/06/2019 16:51
Basildon District Council,"The Basildon Centre,
St. Martin's Square,
Basildon,
Essex,
United Kingdom,
SS14 1DL",,"1,
84110",2.1,-9.8,48,32,6.3,9,55.1,44.9,42.7,57.3,34.9,65.1,43.9,56.1,https://www.basildon.gov.uk/article/522/Statistics-and-census-information,None,500 to 999,Basildon District Council,FALSE,31/03/2020 00:00,27/01/2020 12:23
Basingstoke College of Technology,"Worting Road,
Basingstoke,
Hampshire,
United Kingdom,
RG21 8TN",,"1,
85320",19.8,30.5,nan,,0,0,26.2,73.8,16.7,83.3,29.8,70.2,45.2,54.8,https://www.bcot.ac.uk/information/policies-and-statements/,None,250 to 499,Basingstoke College of Technology,FALSE,31/03/2020 00:00,22/01/2020 09:32
BATT CABLES PUBLIC LIMITED COMPANY,"The Belfry,
Fraser Road,
Erith,
Kent,
DA8 1QH",1353688,46760,21.3,-1.9,61.6,25.1,94.1,94.7,85.2,14.8,85.5,14.5,75.4,24.6,91.9,8.1,,Steve Brown (Financial Director),250 to 499,BATT CABLES PUBLIC LIMITED COMPANY,FALSE,05/04/2020 00:00,23/01/2020 17:16
BAXI HEATING UK LIMITED,"Brooks House,
Coventry Road,
Warwick,
Warwickshire,
CV34 4LL",3879156,25210,17.9,31,24.9,82.3,48,31.4,66.8,33.2,71.4,28.6,88.5,11.5,86.1,13.9,https://mediacdn.baxiheating.co.uk/-/media/websites/policies/baxi-heating-gender-pay-gap-report.pdf?la=en&v=1&d=20200103T144326Z&hash=9CC99AEA99E2D6AED969BA17F8DD4BF0,Victoria Stuart (HR Director UK & Ireland),1000 to 4999,BAXI HEATING UK LIMITED,FALSE,05/04/2020 00:00,28/01/2020 14:26
BBC STUDIOS DISTRIBUTION LIMITED,"1 Television Centre,
101 Wood Lane,
London,
United Kingdom,
W12 7FA",1420028,"59113,
90030",18.3,7.7,44.2,27.8,79.7,77.1,39,61,38.7,61.3,40.4,59.6,50.9,49.1,https://www.bbcstudios.com/media/4083/gender-pay-gap-report-2019.pdf,Tim Davie (CEO),1000 to 4999,BBC STUDIOS DISTRIBUTION LIMITED,FALSE,05/04/2020 00:00,01/10/2019 14:35
BBC STUDIOS PRODUCTIONS LIMITED,"1 Television Centre,
101 Wood Lane,
London,
United Kingdom,
W12 7FA",9463829,60200,15.4,13.4,86.4,-14.3,8.3,11.4,34,66,28.3,71.7,35.3,64.7,47.9,52.1,https://www.bbcstudios.com/media/4083/gender-pay-gap-report-2019.pdf,Tim Davie (CEO),1000 to 4999,BBC STUDIOS PRODUCTIONS LIMITED,FALSE,05/04/2020 00:00,01/10/2019 14:36
BDO SERVICES LIMITED,"55 Baker Street,
London,
W1U 7EU",7020023,82990,16.7,17.3,39.3,17.2,66.6,67.4,47.6,52.4,45.2,54.8,53.6,46.4,64.5,35.5,https://www.bdo.co.uk/getmedia/d58f8007-e0f2-401f-a037-18d7bfa7d7ed/Gender-Pay-Gap-Report-2019-BDO-Services.aspx,Paul Eagland (Managing Partner),"5000 to 19,999",BDO SERVICES LIMITED,FALSE,05/04/2020 00:00,07/10/2019 11:00
BDW TRADING LIMITED,"Barratt House Cartwright Way, Forest Business Park,
Bardon Hill,
Coalville,
Leicestershire,
LE67 1UF",3018173,41201,3.3,0.4,11.7,-4,75,88.7,65.1,34.9,74.8,25.2,70.3,29.7,69.9,30.1,https://www.barrattdevelopments.co.uk,Rob Tansey (Group HR Director),"5000 to 19,999",BDW TRADING LIMITED,FALSE,05/04/2020 00:00,14/11/2019 11:01
BE MODERN LIMITED,"19-34 Bedesway Bede Industrial Estate,
Jarrow,
Tyne And Wear,
NE32 3BE",829005,31090,-0.4,-9.1,59.3,0,92.2,94.1,91.9,8.1,94.6,5.4,68.9,31.1,75.7,24.3,,John Harris (Finance Director),250 to 499,BE MODERN LIMITED,FALSE,05/04/2020 00:00,05/07/2019 14:32
BEARWARD ENGINEERING LIMITED,"Main Road,
Far Cotton,
Northampton,
Northamptonshire,
NN4 8HJ",1590082,28990,7.4,9.4,58.2,32.9,2.7,10.4,82.7,17.3,76.3,23.7,90.7,9.3,82.7,17.3,https://www.wabtec.com/documents/8546/gender-pay-gap-supporting-statement,"Andy Derbyshire (Vice President & Group Managing Director, UK)",250 to 499,BEARWARD ENGINEERING LIMITED,FALSE,05/04/2020 00:00,03/02/2020 12:26
BEATSON CLARK LIMITED,"The Glassworks,
Greasborough Road,
Rotherham,
South Yorkshire,
S60 1TZ",110186,23130,-1.2,10,-29.3,-34,10.2,24.4,75.6,24.4,95.4,4.6,93,7,88.5,11.5,,Dave Roberts (Finance & Commercial Director),250 to 499,BEATSON CLARK LIMITED,FALSE,05/04/2020 00:00,30/01/2020 16:57
BEAZLEY MANAGEMENT LIMITED,"Plantation Place South,
60 Great Tower Street,
London,
EC3R 5AD",5016918,"65120,
65202",32.1,32.5,72,43.8,98,99,42,58,49,51,68,32,73,27,https://www.beazley.com/documents/Gender%20Pay%20Gap%20Report%202019.pdf,Pippa Vowles (Head of talent managment),500 to 999,BEAZLEY MANAGEMENT LIMITED,FALSE,05/04/2020 00:00,16/08/2019 13:22
Bedford Inclusive Learning and Training Trust,"Manor Drive,
Kempston,
Bedford,
Bedfordshire,
MK42 7AB",8156641,"1,
85590",37.9,27.1,nan,,0,0,5.4,94.6,4,96,9.5,90.5,17.6,82.4,http://www.forms.bedford.gov.uk/BILTT/trustboard.aspx,None,250 to 499,BEDFORD INCLUSIVE LEARNING AND TRAINING TRUST,FALSE,31/03/2020 00:00,05/08/2019 13:22
BEDFORDSHIRE SCHOOLS TRUST LIMITED,"Best House Shefford Road,
Clifton,
Shefford,
Bedfordshire,
SG17 5QS",7546141,"85200,
85310,
85320",32.2,53.8,nan,,0,0,6,94,18,82,18,82,39,61,https://www.bestacademies.org.uk/_site/data/files/governance/F09868B3665EF2DFD7E6C2439C876D41.pdf,Alan Lee (CEO),500 to 999,BEDFORDSHIRE SCHOOLS TRUST LIMITED,FALSE,05/04/2020 00:00,28/01/2020 15:02
BEERE ELECTRICAL SERVICES LIMITED,"Unit 1b Country Business Centre,
Lucas Green Road,
West End,
Surrey,
England,
GU24 9LZ",4447006,43210,44.2,61.5,83,50,100,100,50,50,50,50,100,0,100,0,,Robert Beere (Director),Less than 250,BEERE ELECTRICAL SERVICES LIMITED,FALSE,05/04/2020 00:00,15/11/2019 17:24
BELLS OF LAZONBY LIMITED,"Edenholme Bakery,
Lazonby,
Penrith,
Cumbria,
CA10 1BG",500802,10710,18.2,7.2,2.6,54,10.6,7.4,40,60,61,39,52,48,71,29,,Philip Callaghan (Director),250 to 499,BELLS OF LAZONBY LIMITED,FALSE,05/04/2020 00:00,21/11/2019 11:05
BHID GROUP LIMITED,"Broadoak Business Park Ashburton Road West,
Trafford Park,
Manchester,
Greater Manchester,
M17 1RW",9003127,31090,10.2,3.8,nan,,0,0,60.8,39.2,67.2,32.8,70.6,29.4,70.6,29.4,,William Keith Bennett (Finance Director),500 to 999,BHID GROUP LIMITED,FALSE,05/04/2020 00:00,02/10/2019 09:37
BIRTENSHAW,"Birtenshaw Darwen Road,
Bromley Cross,
Bolton,
England,
BL7 9AB",2978546,"85590,
87900",4.1,0,nan,,0,0,29,71,31,69,32,68,30,70,https://birtenshaw.org.uk/about-us/gender-pay/,Michelle Hinselwood (Deputy Chief Executive: Resources),250 to 499,BIRTENSHAW,FALSE,05/04/2020 00:00,03/02/2020 15:09
BKUK GROUP LIMITED,"5 New Street Square,
London,
United Kingdom,
EC4A 3TW",10980808,64209,2,0,10.1,20,14.2,13.5,63.2,36.8,48.4,51.6,50.7,49.3,58,42,,Timothy Doubleday (CFO),1000 to 4999,BKUK GROUP LIMITED,FALSE,05/04/2020 00:00,21/01/2020 09:37
BLACK SWAN INTERNATIONAL LIMITED,"Chiswick House,
3 Christchurch Road,
Norwich,
Norfolk,
England,
NR2 2AD,
NR2 2AD",2621410,87300,9.8,4.2,78.6,0,7.6,4.1,21.7,78.3,8.6,91.4,22.9,77.1,24.8,75.2,https://www.blackswan.co.uk/equality,Tom Lyons (Managing Director),500 to 999,BLACK SWAN INTERNATIONAL LIMITED,FALSE,05/04/2020 00:00,13/04/2019 15:36
BLANC AERO INDUSTRIES UK LIMITED,"38 Butlers Leap,
Rugby,
Warwickshire,
CV21 3RQ",1454059,25940,8,5.2,-7,0.7,98.3,100,81.3,18.7,95.1,4.9,91.4,8.6,93.8,6.2,https://www.lisi-aerospace.com/en/join-us/life-talents/,Mark Capell (General Manager),250 to 499,BLANC AERO INDUSTRIES UK LIMITED,FALSE,05/04/2020 00:00,05/02/2020 12:44
BLUE CROSS,"Shilton Road,
Burford,
Oxfordshire,
OX18 4PF",363197,"47190,
75000,
96090",22.9,19.8,nan,,0,0,12,88,13.6,86.4,7.9,92.1,26.8,73.2,https://www.bluecross.org.uk/sites/default/files/downloads/Gender%20Pay%20Gap%20Report%202019.pdf,Beth Verrechia (Director of People & Development),500 to 999,BLUE CROSS,FALSE,05/04/2020 00:00,30/01/2020 16:32
BLUETREE DESIGN AND PRINT LIMITED,"Unit 1 Brookfields Park,
Manvers Way, Manvers,
Rotherham,
S Yorkshire,
S63 5DR",3793442,18129,13.1,8.8,50.9,56,18.8,44.2,57.1,42.9,68.2,31.8,71.8,28.2,79.8,20.2,,Adam Carnell (Managing Director),250 to 499,BLUETREE DESIGN AND PRINT LIMITED,FALSE,05/04/2020 00:00,05/06/2019 16:11
BMW (UK) LIMITED,"COMPANY SECRETARY,
Summit One,
Summit Avenue,
Farnborough,
Hampshire,
GU14 0FB",1378137,45111,16.7,18,53.9,48.4,85,76,52,48,59,41,73,27,79,21,https://www.bmw.co.uk/en/footer/quick-links/gender-pay-gap-report.html,Graeme Grieve (Chief Executive Officer),250 to 499,BMW (UK) LIMITED,FALSE,05/04/2020 00:00,28/01/2020 17:37
BMW (UK) MANUFACTURING LIMITED,"COMPANY SECRETARY,
Summit One,
Summit Avenue,
Farnborough,
Hampshire,
GU14 0FB",3950868,29100,8.5,4.2,6.5,-0.4,96,92,86,14,91,9,93,7,95,5,https://www.mini.co.uk/content/dam/MINI/marketUK/mini_co_uk/en_GB/legal/MINI%20Plant%20Oxford%20Gender%20Pay%20Gap%20Reports%20A4.pdf,Bob Shankly (HR Director),1000 to 4999,BMW (UK) MANUFACTURING LIMITED,FALSE,05/04/2020 00:00,09/12/2019 14:04
BMW FINANCIAL SERVICES (GB) LIMITED,"Summit One,
Summit Avenue,
Farnborough,
England,
GU14 0FB",1288537,64921,20.4,26.2,50.8,32.2,83,82,42,58,45,55,52,48,71,29,https://www.bmw.co.uk/en/footer/quick-links/gender-pay-gap-report.html,Mike Dennett (Chief Executive Officer),250 to 499,BMW FINANCIAL SERVICES (GB) LIMITED,FALSE,05/04/2020 00:00,22/01/2020 14:56
BMW HAMS HALL MOTOREN GMBH,"Canton Lane,
Coleshill,
Hams Hall,
B46 1GB",BR004623,,16.6,10.1,16.8,11.4,91,87,84,16,93,7,97,3,98,2,https://www.bmwgroup-plants.com/content/dam/grpw/websites/bmwgroup-werke_com/hamshall/careers/gender_pay_report_hamshall_2019.pdf,Bob Shankly (HR Director),500 to 999,BMW HAMS HALL MOTOREN GMBH,FALSE,05/04/2020 00:00,09/12/2019 14:04
BOARD24 LTD,"2 Franks Road,
Bardon Hill,
Coalville,
Leicestershire,
England,
LE67 1TT",2138268,82920,11.6,10.5,-278.5,37.4,8,73.3,86.5,13.5,92,8,93.2,6.8,94.3,5.7,,David Hoult (Finance Director),250 to 499,BOARD24 LTD,FALSE,05/04/2020 00:00,03/02/2020 16:54
BOLLIN GROUP LIMITED,"Bailey Court, Green Street,
Macclesfield,
Cheshire,
SK10 1JQ",2404333,70100,27.3,17.3,71.3,0,74,71.3,48.5,51.5,41.5,58.5,52.3,47.7,81.5,18.5,,Stephen Cann (Group CEO),250 to 499,BOLLIN GROUP LIMITED,FALSE,05/04/2020 00:00,03/10/2019 11:41
Bolsover District Council,"The Arc,
High Street,
Clowne,
Chesterfield,
Derbyshire,
United Kingdom,
S43 4JY",,"1,
84110",3.5,0.1,nan,,0,0,56.3,43.7,40.4,59.6,46.2,53.8,51.3,48.7,https://www.bolsover.gov.uk/index.php/your-council/data-transparency,None,250 to 499,Bolsover District Council,FALSE,31/03/2020 00:00,27/01/2020 13:37
BOLTON SCHOOL,"Bolton School,
Chorley New Road,
Bolton,
Greater Manchester,
BL1 4PA",5458883,"85200,
85310",12.4,27.2,nan,,0,0,20.1,79.9,34.6,65.4,28.6,71.4,41.2,58.8,https://www.boltonschool.org/media/90318498/2019-gender-pay-gap-report.pdf,Cathy Fox (Clerk and Treasurer),500 to 999,BOLTON SCHOOL,FALSE,05/04/2020 00:00,03/02/2020 10:00
BON ACCORD CARE LIMITED,"Inspire Building,
Beach Boulevard,
Aberdeen,
Scotland,
AB24 5HP",SC416826,88100,-9.7,-15.8,nan,,0,0,24.1,75.9,8.7,91.3,7.5,92.5,8.7,91.3,https://www.bonaccordcare.org,Alistair MacLean (Finance Director),500 to 999,BON ACCORD CARE LIMITED,FALSE,05/04/2020 00:00,10/01/2020 14:28
BOTT LIMITED,"Bott Limited,
Bude-Stratton Business Park,
Bude,
Cornwall,
EX23 8LY",1325869,25990,3.3,-1.5,49.2,11.9,100,100,77.6,22.4,82.7,17.3,76.5,23.5,74.5,25.5,,Simon Fry (Financial Director),250 to 499,BOTT LIMITED,FALSE,05/04/2020 00:00,30/01/2020 13:07
Bracknell Forest Council,"Time Square,
Market Street,
Bracknell,
Berkshire,
United Kingdom,
RG12 1JD",,"1,
84110",18.2,22.6,32,24,8.5,4.2,8.9,91.1,13.3,86.7,25.1,74.9,23.6,76.4,https://www.bracknell-forest.gov.uk/council-and-democracy/equality-and-diversity,None,1000 to 4999,Bracknell Forest Council,FALSE,31/03/2020 00:00,19/12/2019 11:53
BRANCASTER CARE HOMES LIMITED,"Genesis Centre,
Garrett Field Birchwood,
Warrington,
Cheshire,
WA3 7BH",5392158,87100,1.9,0,nan,,0,2.5,6.6,93.4,18,82,24.6,75.4,22.9,77.1,,Alister Cook (Managing Director),250 to 499,BRANCASTER CARE HOMES LIMITED,FALSE,05/04/2020 00:00,17/05/2019 14:14
BRANSTON LIMITED,"Mere Road,
Branston,
Lincoln,
Lincolnshire,
LN4 1NJ",2889789,10310,7.3,6.5,27.5,0,71,69.5,53.2,46.8,75.7,24.3,68.8,31.2,76.3,23.7,https://www.branston.com/,Simon Telfer (HR & Logistics Director),500 to 999,BRANSTON LIMITED,FALSE,05/04/2020 00:00,06/01/2020 09:58
BREAK,"Schofield House,
1 Spar Road,
Norwich,
England,
NR6 6BX",1699685,"87900,
88990",8,3.2,53.7,66.8,3.8,14.8,8.1,91.9,30.2,69.8,26.7,73.3,27.1,72.9,http://www.break-charity.org/about-us/gender-pay-gap/,Michael Hudson (Deputy CEO),250 to 499,BREAK,FALSE,05/04/2020 00:00,17/01/2020 11:28
BREEZEMOUNT SERVICES LTD,"29 Edenordinary Road,
Banbridge,
Co. Down,
United Kingdom,
BT32 4HA",NI635503,49410,-16,-14,22,10,6,21,99,1,93,7,97,3,90,10,,Karen Fisher (HR Director),250 to 499,BREEZEMOUNT SERVICES LTD,FALSE,05/04/2020 00:00,18/07/2019 16:04
Brentwood Academies Trust,"St Martin's School Brentwood Hanging Hill Lane,
Hutton,
Brentwood,
Essex,
CM13 2HG",7638800,"1,
85310",17.1,19.8,nan,,0,0,24.4,75.6,26.4,73.6,37.9,62.1,42.5,57.5,https://www.brentwoodacademiestrust.org/,None,250 to 499,BRENTWOOD ACADEMIES TRUST,FALSE,31/03/2020 00:00,08/08/2019 11:34
BREYER GROUP PUBLIC LIMITED COMPANY,"Faringdon Avenue,
Harold Hill,
Romford,
Essex,
RM3 8ST",782931,"41202,
43290,
43910,
43999",23.9,6.9,100,100,5.4,0,55.1,44.9,67.5,32.5,71.4,28.6,85.9,14.1,https://www.breyergroup.co.uk/careeers/culture-and-values,Anne Dyer (HR Director),250 to 499,BREYER GROUP PUBLIC LIMITED COMPANY,FALSE,05/04/2020 00:00,05/02/2020 10:20
Bridgend County Borough Council,"Civic Offices,
Angel Street,
Bridgend,
CF31 4WB",,1,14.2,13,nan,,0,0,13,87,16.6,83.4,20.8,79.2,32.8,67.2,,None,1000 to 4999,Bridgend County Borough Council,FALSE,31/03/2020 00:00,08/11/2019 14:00
Bridgwater & Taunton College,"Bath Road,
Bridgwater,
TA6 4PZ",,"1,
85310",12.3,27.5,nan,,0,0,31,69,32,68,49,51,51,49,https://www.btc.ac.uk/wp-content/uploads/2019/03/Gender-Pay-Gap-Report-for-Bridgwater-2019.docx,None,1000 to 4999,Bridgwater & Taunton College,FALSE,31/03/2020 00:00,01/04/2019 17:05
Brighton Hove and Sussex Sixth Form College,"205 Dyke Road,
Hove,
BN3 6EG",,"1,
85310",5.7,5.8,nan,,0,0,31.7,68.3,30.4,69.6,41.8,58.2,26.6,73.4,https://www.bhasvic.ac.uk/the-college/working-for-us/statutory-reporting?p=cebf0b69df987fe346754cf1205592ba,None,250 to 499,Brighton Hove and Sussex Sixth Form College,FALSE,31/03/2020 00:00,19/12/2019 09:20
BRISTAN GROUP LIMITED,"1 Park Row,
Leeds,
West Yorkshire,
LS1 5AB",1318148,46900,26,27,45,0,70,30,38,62,54,46,61,39,72,28,http://www.thebristangroup.com/governance/gender-pay-gap,Steve Forbes (Chief HR Officer),250 to 499,BRISTAN GROUP LIMITED,FALSE,05/04/2020 00:00,05/02/2020 16:49
British Broadcasting Corporation,,RC000057,"1,
1,
1,
1",6.8,6.7,23.1,0,8,9.1,45.4,54.6,53.6,46.4,58.8,41.2,60.5,39.5,http://downloads.bbc.co.uk/aboutthebbc/reports/reports/gender-pay-gap-2019.pdf,None,"5000 to 19,999",BRITISH BROADCASTING CORPORATION,FALSE,31/03/2020 00:00,03/07/2019 07:22
British Film Institute,"21 Stephen Street,
London,
W1T 1LN",,"1,
84110",0,3.9,-4.5,-88.2,19.8,14,42.3,57.7,51.1,48.9,50.4,49.6,47.8,52.2,,None,500 to 999,British Film Institute,FALSE,31/03/2020 00:00,09/01/2020 14:12
BRITISH HEART FOUNDATION,"Greater London House, 5th Floor,
180 Hampstead Road,
London,
United Kingdom,
NW1 7AW",699547,86900,8.7,-3.2,-10,-24.3,14.8,25.4,38,62,32,68,22,78,36,64,https://www.bhf.org.uk/informationsupport/publications/about-bhf/gender-pay-gap-report-november-2019,Kerry Smith (Director of People and Organisational Development),1000 to 4999,BRITISH HEART FOUNDATION,FALSE,05/04/2020 00:00,22/11/2019 14:41
BRITISH HORSERACING AUTHORITY LIMITED,"75 High Holborn,
London,
WC1V 6LS",2813358,93199,17,9,27,0,90,94,53,47,62,38,78,22,68,32,http://media.britishhorseracing.com/bha/publications/BHA_GenderPayReport_2019.pdf,Richard Wayman (Chief Operating Officer),250 to 499,BRITISH HORSERACING AUTHORITY LIMITED,FALSE,05/04/2020 00:00,27/01/2020 16:42
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),"York House,
45 Seymour Street,
London,
W1H 7LX",621920,"41100,
64209",35.1,34.9,56.9,64.5,81.3,84.2,32.4,67.6,41.2,58.8,52.9,47.1,69.6,30.4,https://www.britishland.com/about-us/governance/gender-pay-gap,Ann Henshaw (HR Director),250 to 499,BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),FALSE,05/04/2020 00:00,12/06/2019 10:36
BRITVIC SOFT DRINKS LIMITED,"Breakspear Park,
Breakspear Way,
Hemel Hempstead,
Hertfordshire,
HP2 4TZ",517211,"11070,
46390",-5,-13,2.6,-59,86.9,82.8,72.3,27.7,81.8,18.2,72.7,27.3,65.8,34.2,https://www.britvic.com/~/media/Files/B/Britvic-V3/documents/pdf/presentation/2019/2019-annual-report.pdf,Zareena Brown (Chief HR Officer),1000 to 4999,BRITVIC SOFT DRINKS LIMITED,FALSE,05/04/2020 00:00,02/01/2020 16:23
BROADACRES HOUSING ASSOCIATION LIMITED,,IP27656R,,14.3,21.6,-46.7,0,95.9,98,36,64,26,74,54,46,68,32,https://www.broadacres.org.uk/wp-content/uploads/2019/02/2019_GPG_Report_Final.pdf,Gail Teasdale (CEO),250 to 499,BROADACRES HOUSING ASSOCIATION LIMITED,FALSE,05/04/2020 00:00,02/12/2019 16:25
BROADGATE ESTATES LIMITED,"York House,
45 Seymour Street,
London,
W1H 7LX",2366959,41100,31.7,37.7,62.5,43.1,92.6,73.7,20.8,79.2,26.5,73.5,71.4,28.6,77.1,22.9,,Ann Henshaw (HR Director),Less than 250,BROADGATE ESTATES LIMITED,FALSE,05/04/2020 00:00,12/06/2019 10:31
Brooksby Melton College,"Asfordby Road,
Melton Mowbray,
Leicestershire,
United Kingdom,
LE13 0HJ",,"1,
85320",7,6,nan,,0,0,32,68,29,71,30,70,30,70,https://www.brooksbymelton.ac.uk/,None,250 to 499,Brooksby Melton College,FALSE,31/03/2020 00:00,08/11/2019 09:51
Brookvale Groby Learning Trust,"Ratby Road,
Groby,
Leicester,
LE6 0GH",,1,14.9,31.6,nan,,0,0,17,83,22,78,33.3,66.7,28.8,71.2,,None,250 to 499,Brookvale Groby Learning Trust,FALSE,31/03/2020 00:00,01/04/2019 15:05
BROTHERS OF CHARITY SERVICES (SCOTLAND),"Triest House,
Bridge Street,
Galashiels,
Selkirkshire,
Scotland,
TD1 1SW",SC318036,"86900,
88100",-2,-1,nan,,0,0,34,66,24,76,32,68,25,75,http://bocscot.org/,Allistair Matheson (Director of Finance and Central Services),Less than 250,BROTHERS OF CHARITY SERVICES (SCOTLAND),FALSE,05/04/2020 00:00,28/06/2019 11:52
Brothers of Charity Services in Lancashire,"Lisieux Hall,
Dawson Lane,
Whittle-le-Woods,
PR67DX",,"87100,
87200,
88990",1.6,2.2,25.1,24.1,5.9,2.6,23.4,76.6,27.3,72.7,29.5,70.5,24.8,75.2,https://brothersofcharity.org.uk/lancashire/about-us/gender-pay-gap-report/,Darron Grundy (CEO),500 to 999,Brothers of Charity Services in Lancashire,FALSE,05/04/2020 00:00,09/04/2019 16:14
Brothers of Charity Services Merseyside and Greater Manchester,"Thingwall Hall,
Broadgreen,
Liverpool,
L147NY",,"87100,
87200,
88990",5.6,0,34.2,33.4,5.3,4.4,30.5,69.5,28.1,71.9,28.9,71.1,29.7,70.3,https://brothersofcharity.org.uk/merseyside/about-us/gender-pay-gap-reporting/,Darron Grundy (CEO),500 to 999,Brothers of Charity Services Merseyside and Greater Manchester,FALSE,05/04/2020 00:00,09/04/2019 16:16
BURHILL GOLF AND LEISURE LIMITED,"Burhill,
Walton-On-Thames,
Surrey,
KT12 4BX",1497205,93110,16.6,0,65.2,72.6,25.3,21.1,42,58,45,55,72,28,69,31,,James Conlan (Finance Director),500 to 999,BURHILL GOLF AND LEISURE LIMITED,FALSE,05/04/2020 00:00,21/06/2019 10:14
BURHILL GROUP LIMITED,"Burhill,
Burwood Road,
Walton On Thames,
Surrey,
KT12 4BX",7447067,"70100,
93110",16.6,0,65.2,72.6,25.3,21.1,42,58,45,55,72,28,69,31,,James Conlan (Finance Director),500 to 999,BURHILL GROUP LIMITED,FALSE,05/04/2020 00:00,21/06/2019 10:17
Bury Council,"Town Hall,
Knowsley Street,
Bury,
BL9 0SW",,"1,
84110",7.6,3.9,nan,,0,0,18.2,81.8,40.5,59.5,29.1,70.9,34.5,65.5,https://www.bury.gov.uk/index.aspx?articleid=14174,None,1000 to 4999,Bury Council,FALSE,31/03/2020 00:00,28/01/2020 10:57
BUZZ GROUP LIMITED,"New Castle House,
Castle Boulevard,
Nottingham,
Nottinghamshire,
NG7 1FT",794943,92000,20.5,0.2,66.3,31.8,99.8,98,16,84,37,63,39,61,56,44,https://buzzgroupltd.co.uk/,Trudi Faulkner (Senior HR Manager),1000 to 4999,BUZZ GROUP LIMITED,FALSE,05/04/2020 00:00,24/01/2020 16:49
C SPENCER LIMITED,"1 Humber Quays,
Wellington Street West,
Hull,
East Yorkshire,
HU1 2BN",2334308,42990,36,36,56,0,74,86,48,52,77,23,76,24,90,10,https://thespencergroup.co.uk/,Yvonne Moir (HR Director),Less than 250,C SPENCER LIMITED,FALSE,05/04/2020 00:00,04/09/2019 10:36
Cambridgeshire Police,"Police Headquarters,
Hinchingbrooke Park,
Huntingdon,
Cambridgeshire,
United Kingdom,
PE29 6NP",,"1,
84240",8,15,11,85,6,3,50,50,47,53,58,42,73,27,,None,1000 to 4999,Cambridgeshire Police,FALSE,31/03/2020 00:00,13/12/2019 17:23
